Year	Mo	Da	Ho	Lat	Lon	H	Mw	MwUnc	McModel2
1556	11	17	0	39.303	16.252	0	5.10	0.46	0
1557	0	0	0	40.721	13.953	0	3.50	0.50	0
1557	4	23	21	42.351	13.399	0	4.16	0.46	0
1558	2	8	18	43.457	12.239	0	5.10	0.46	0
1558	4	13	9	43.456	11.564	0	5.97	0.23	1
1559	4	11	20	43.62	12.091	0	4.86	0.46	0
1559	4	27	12	39.844	16.136	0	4.86	0.46	0
1559	6	29	0	38.115	13.362	0	4.16	0.46	0
1560	5	11	4	41.249	16.485	0	5.66	0.48	0
1561	7	31	19	40.65	15.389	0	6.34	0.10	1
1561	7	31	20	40.685	14.717	0	5.56	0.46	0
1561	8	19	15	40.563	15.505	0	6.72	0.17	1
1561	11	24	1	44.781	11.454	0	4.40	0.46	0
1562	4	6	1	38.115	13.362	0	4.16	0.46	0
1563	9	17	9	42.58	13.978	0	4.40	0.46	0
1564	7	0	0	40.835	14.186	0	3.12	0.50	0
1564	7	20	0	44.024	7.276	0	5.80	0.40	1
1566	5	1	9	40.822	14.123	0	3.25	0.50	0
1566	5	6	22	40.835	14.186	0	3.12	0.50	0
1566	11	30	0	37.877	14.948	0	3.47	0.33	0
1567	0	0	0	42.793	13.094	0	4.86	0.46	0
1568	12	27	0	40.822	14.123	0	3.37	0.50	0
1570	4	30	23	40.835	14.186	0	3.50	0.50	0
1570	11	17	19	44.824	11.632	0	5.44	0.17	1
1572	1	4	18	47.283	11.467	0	4.74	0.64	0
1572	6	4	22	44.85	10.422	0	4.63	0.46	0
1574	3	17	3	44.833	11.294	0	4.63	0.46	0
1574	8	14	0	45.4	14.1	0	5.56	0.46	1
1575	6	5	20	40.849	14.25	0	3.25	0.50	0
1575	6	14	16	43.318	11.332	0	4.86	0.46	0
1575	11	17	10	46.062	12.635	0	4.86	0.46	0
1576	9	26	5	45.694	9.671	0	4.40	0.46	0
1577	6	6	23	41.688	12.778	0	4.40	0.46	0
1578	0	0	0	37.508	13.083	0	5.10	0.46	0
1579	0	0	0	41.808	13.789	0	4.40	0.46	0
1582	4	16	0	40.822	14.123	0	3.63	0.50	0
1582	6	5	7	40.822	14.123	0	3.88	0.50	0
1584	3	1	0	44.466	7.362	0	4.86	0.46	0
1584	3	11	11	46.33	6.97	0	5.90	0.50	1
1584	3	14	8	46.32	6.98	0	5.40	1.00	0
1584	9	10	20	43.862	11.992	0	5.97	0.24	1
1586	1	12	0	44.866	10.061	0	4.16	0.46	0
1587	0	0	0	41.131	14.778	0	4.63	0.46	0
1590	4	22	12	46.08	14.5	0	5.10	0.46	0
1590	6	13	10	43.065	12.497	0	4.86	0.46	0
1591	5	24	0	44.698	10.631	0	4.63	0.46	0
1591	7	10	0	44.401	12.035	0	5.13	0.60	1
1592	11	24	0	42.877	12.747	0	5.10	0.46	0
1593	3	8	0	45.694	9.671	0	4.86	0.46	0
1593	4	23	0	43.31	12.421	0	5.33	0.46	0
1594	10	3	0	44.835	11.62	0	4.16	0.46	0
1595	7	12	0	47.28	11.51	0	4.63	0.46	0
1595	7	14	1	46.063	13.234	0	3.70	0.46	0
1595	10	30	0	43.351	12.577	0	4.40	0.46	0
1597	3	5	0	42.778	12.466	0	4.63	0.46	0
1597	8	3	23	43.987	11.429	0	5.28	0.23	0
1599	8	0	0	38.147	15.601	0	5.10	0.46	0
1599	11	6	1	42.724	13.021	0	6.07	0.24	1
1599	11	16	0	43.774	11.716	0	5.10	0.46	0
1599	12	29	2	46	14.5	0	4.16	0.46	0
1600	7	6	0	43.773	11.257	0	4.63	0.46	0
1600	10	28	0	44.698	10.631	0	5.33	0.46	1
1601	0	0	0	38.185	15.555	0	4.16	0.46	0
1601	8	10	0	40.849	14.25	0	3.12	0.50	0
1603	1	25	0	43.318	11.332	0	4.40	0.46	0
1606	8	22	0	45.694	9.671	0	4.86	0.46	0
1606	12	12	0	45.407	11.875	0	4.16	0.46	0
1607	12	31	0	44.698	10.631	0	4.16	0.46	0
1608	1	6	22	44.698	10.631	0	4.40	0.46	0
1609	0	0	0	43.421	11.114	0	4.40	0.46	0
1609	7	20	0	38.925	16.373	0	5.80	0.46	0
1610	5	14	0	44.307	8.48	0	3.70	0.46	0
1611	1	15	0	44.808	7.245	0	4.40	0.46	0
1611	9	8	22	44.01	11.359	0	5.10	0.46	0
1612	1	31	0	43.949	7.613	0	4.86	0.46	0
1612	10	14	0	43.246	12.853	0	5.11	0.55	0
1613	8	25	5	38.122	14.788	0	5.56	0.46	0
1614	8	0	0	43.112	12.389	0	4.86	0.46	0
1616	6	4	0	39.131	9.502	0	4.91	0.46	0
1617	3	23	0	43.522	13.245	0	4.40	0.46	0
1618	1	18	5	43.961	7.311	0	5.64	0.50	1
1619	7	7	22	42.526	13.296	0	5.33	0.46	0
1620	6	22	0	44.517	12.017	0	4.86	0.46	0
1621	0	0	0	46.17	14.5	0	5.10	0.46	0
1622	5	5	11	46.172	14.657	0	5.33	0.46	0
1622	8	3	0	46.82	10.23	0	5.40	1.00	0
1624	2	3	0	39.027	16.283	0	5.10	0.46	0
1624	3	19	0	44.642	11.848	0	5.43	0.40	1
1624	10	3	17	37.27	14.742	0	5.56	0.46	0
1625	0	0	0	46	14.5	0	5.10	0.46	0
1625	8	0	0	40.961	15.818	0	5.80	0.46	0
1625	12	5	0	44.059	12.568	0	4.63	0.46	0
1626	1	7	4	46.08	14.5	0	4.63	0.46	0
1626	4	4	12	38.851	16.456	0	6.07	0.44	1
1626	5	12	0	43.3	13.453	0	5.10	0.46	0
1627	7	0	0	42.694	13.248	0	5.33	0.46	0
1627	7	30	10	41.737	15.342	0	6.66	0.10	1
1627	7	30	11	41.685	15.381	0	5.80	0.46	0
1627	8	7	16	41.758	15.328	0	6.03	0.46	1
1627	9	6	15	41.597	15.358	0	5.80	0.46	0
1628	7	12	0	41.685	15.381	0	4.40	0.46	0
1628	11	4	15	44.801	10.33	0	4.86	0.46	0
1630	5	0	0	43.903	10.69	0	4.40	0.46	0
1631	2	25	0	43.052	12.855	0	5.10	0.46	0
1631	12	0	0	40.817	14.309	0	3.25	0.50	0
1633	2	22	3	37.614	15.026	0	4.03	0.36	0
1634	11	10	0	40.667	16.611	0	4.86	0.46	0
