rup_id	involved_faults
1019	38 50 51 80 83 
1020	38 50 51 82 83 
1021	39 40 41 48 76 
1022	39 40 41 75 76 
1023	39 40 74 75 76 
1024	42 43 44 58 59 
1025	42 43 57 58 59 
1026	49 50 51 72 73 
1027	49 50 51 73 80 
1028	49 50 51 73 83 
1029	49 50 51 80 83 
1030	49 50 51 82 83 
1031	49 50 71 72 73 
1032	49 50 72 73 83 
1033	49 50 73 82 83 
1034	49 50 81 82 83 
1035	49 62 81 82 83 
1036	49 71 72 73 83 
1037	49 72 73 82 83 
1038	49 73 81 82 83 
1039	50 51 80 82 83 
1040	50 51 81 82 83 
1041	50 62 81 82 83 
1042	60 61 62 81 82 
1043	61 62 81 82 83 
1044	0 1 2 4 5 6 
1045	0 1 2 5 6 7 
1046	0 1 2 5 6 11 
1047	0 1 2 5 6 12 
1048	0 1 2 5 6 29 
1049	0 1 2 5 6 57 
1050	0 1 2 5 6 58 
1051	0 1 2 6 7 8 
1052	0 1 2 6 7 11 
1053	0 1 2 6 7 12 
1054	0 1 2 6 7 29 
1055	0 1 2 6 7 57 
1056	0 1 2 6 7 58 
1057	0 1 2 6 11 12 
1058	0 1 2 6 11 29 
1059	0 1 2 6 11 57 
1060	0 1 2 6 11 58 
1061	0 1 2 6 12 13 
1062	0 1 2 6 12 29 
1063	0 1 2 6 12 57 
1064	0 1 2 6 12 58 
1065	0 1 2 6 28 29 
1066	0 1 2 6 29 57 
1067	0 1 2 6 29 58 
1068	0 1 2 6 57 58 
1069	0 1 2 6 58 59 
1070	0 1 2 7 8 9 
1071	0 1 2 7 8 11 
1072	0 1 2 7 8 12 
1073	0 1 2 7 8 29 
1074	0 1 2 7 8 57 
1075	0 1 2 7 8 58 
1076	0 1 2 7 11 12 
1077	0 1 2 7 11 29 
1078	0 1 2 7 11 57 
1079	0 1 2 7 11 58 
1080	0 1 2 7 12 13 
1081	0 1 2 7 12 29 
1082	0 1 2 7 12 57 
1083	0 1 2 7 12 58 
1084	0 1 2 7 28 29 
1085	0 1 2 7 29 57 
1086	0 1 2 7 29 58 
1087	0 1 2 7 57 58 
1088	0 1 2 7 58 59 
1089	0 1 2 11 12 13 
1090	0 1 2 11 12 29 
1091	0 1 2 11 28 29 
1092	0 1 2 12 13 29 
1093	0 1 2 12 28 29 
1094	0 1 2 27 28 29 
1095	0 1 3 4 5 6 
1096	0 1 4 5 6 7 
1097	0 1 4 5 6 29 
1098	0 1 4 5 6 57 
1099	0 1 4 5 6 58 
1100	0 1 5 6 7 8 
1101	0 1 5 6 7 29 
1102	0 1 5 6 7 57 
1103	0 1 5 6 7 58 
1104	0 1 5 6 28 29 
1105	0 1 5 6 29 57 
1106	0 1 5 6 29 58 
1107	0 1 5 6 57 58 
1108	0 1 5 6 58 59 
1109	0 1 6 7 8 9 
1110	0 1 6 7 8 29 
1111	0 1 6 7 8 57 
1112	0 1 6 7 8 58 
1113	0 1 6 7 28 29 
1114	0 1 6 7 29 57 
1115	0 1 6 7 29 58 
1116	0 1 6 7 57 58 
1117	0 1 6 7 58 59 
1118	0 1 6 27 28 29 
1119	0 1 6 28 29 57 
1120	0 1 6 28 29 58 
1121	0 1 6 29 57 58 
1122	0 1 6 29 58 59 
1123	0 1 6 42 58 59 
1124	0 1 6 57 58 59 
1125	0 1 7 8 9 29 
1126	0 1 7 8 9 57 
1127	0 1 7 8 9 58 
1128	0 1 7 8 28 29 
1129	0 1 7 8 29 57 
1130	0 1 7 8 29 58 
1131	0 1 7 8 57 58 
1132	0 1 7 8 58 59 
1133	0 1 7 27 28 29 
1134	0 1 7 28 29 57 
1135	0 1 7 28 29 58 
1136	0 1 7 29 57 58 
1137	0 1 7 29 58 59 
1138	0 1 7 42 58 59 
1139	0 1 7 57 58 59 
1140	0 1 27 28 29 55 
1141	0 2 4 5 6 7 
1142	0 2 5 6 7 8 
1143	0 2 5 6 7 11 
1144	0 2 5 6 7 12 
1145	0 2 5 6 7 29 
1146	0 2 5 6 7 57 
1147	0 2 5 6 7 58 
1148	0 2 6 7 8 9 
1149	0 2 6 7 8 11 
1150	0 2 6 7 8 12 
1151	0 2 6 7 8 29 
1152	0 2 6 7 8 57 
1153	0 2 6 7 8 58 
1154	0 2 6 7 11 12 
1155	0 2 6 7 11 29 
1156	0 2 6 7 11 57 
1157	0 2 6 7 11 58 
1158	0 2 6 7 12 13 
1159	0 2 6 7 12 29 
1160	0 2 6 7 12 57 
1161	0 2 6 7 12 58 
1162	0 2 6 7 28 29 
1163	0 2 6 7 29 57 
1164	0 2 6 7 29 58 
1165	0 2 6 7 57 58 
1166	0 2 6 7 58 59 
1167	0 3 4 5 6 7 
